id,annotations,tweets
743543949516767232,[1447],I could care less about what people think 🙄
748539392466132992,[1447],@RickAMosley like I'm gonna eat pasta without Parmesan tho 🙄
748346071223394304,[1447],@espn why aren't you guys playing the CWS game 🙄
743916778087120896,[1447],Social media updating to much for me 🙄
742123903162580992,[1447],"Concerns about AIDS. % is higher among gay males, but isn't exclusive to them. Shouldn't we just test ALL blood? 🙄 https://t.co/1DqTl9HgGm"
744548975215247361,[1447],I miss my boo like crazy 🙄
744719338825867265,[1447],"RT @PoojaSolanki: Tussi Ja rahe ho? Tussi na Jao! 
We literally had ONE good thing going.. And now he's going.. 🙄 #RaghuramRajan  https://t…"
742887290666688512,[1447],"Woke up from a bomb ass nap, now I'm just laying here 🙄"
746174932975943684,[1447],@JeremyLaguana how did it not 🙄
741460924347752448,[1447],seriously 🙄 https://t.co/RB9r8zk5Np
743310572964319234,[1447],"RT @justbeecool_: You wilding,  you super childish 🙄"
744251097582178306,[1447],Keeping my comments to myself. 🙄
744208324351008769,[1447],i need a gar 🙄
742342899875078144,[1447],I'm not a big fan of breakfast food anymore 🙄
741881787723419648,[1447],Update: I've been staring at my cart for the past hour and still haven't decided what I want more. Like why so expensive? 🙄
746552499566305282,[1447],I'm actually so bitter right now 🙄
744321813761691648,[1447],Idc what nobody say it's easy to be faithful 🙄
747984716863660032,[1447],My mom has had DVR for 1 month and already complains when she has to watch commercials 🙄
744902963139731456,[1447],I'm really getting food to not even eat the shit 🙄 what's wrong with me
744904138547335168,[1447],"@AshleySellers10 sure, when 🙄"
747987110624387072,[1447],Not feeling it at all 🙄
742229330588143621,[1447],Finna hang up in this dumb ass face 🙄
742230051341623296,[1447],RT @NigerianEssence: Ashlie and Nikki be the main ones 🙄
744969501544873984,[1447],I wish it hurry up and rain so I can go back to sleep 🙄
741881689316659200,[1447],this ho so aggravating like 🙄 gone on on somewhere
743277349278482432,[1447],I hope this hotel come through though 🙄
741835129241247747,[1447],RT @DanielxSangco: Make it turnt 🙄 Slidee https://t.co/ncd5hTItQO
747293636958707712,[1447],No bikini bottoms fit me well 🙄
746892634241695748,[1447],"so tired i cant even drink the beer i just went to buy 🙄😑 

33hrs in 3 days 💁🏼 
#iHaveSetAGoal"
742079846617075712,[1447],I'm so sleepy but I don't wanna gts 🙄
746217605573185537,[1447],"@sar_spencer @spencerrinn wow, how clever 🙄 calling me a pretty lame loser makes you a pathetic little liar 😼"
743256124103753728,[1447],Alliance 🙄 https://t.co/YDijroNP9C
743045559666278400,[1447],"Every time I see a ""what should I read next"" poll with all big-name books, I get a little sad. 🙄"
742122094176014336,[1447],rft dude 🙄  https://t.co/GEb58tjkL7
742893606487232512,"[1446, 1447]",I'm going to drive myself insane. 🙃 Get a grip Mel. 🙄
744713134032719872,[1447],James is always talking to the ref 🙄
744336362355171329,"[1447, 1620]",@Abner_Enrique figured you'd say that 🙄 better see you at my games this season 🤔
748184157180813312,[1447],"Cause if I work the night @21savage come, I'm calling out 🙄"
741324256924033024,[1447],@jrbradford21 so annoying 🙄
744716087019741185,[1447],I'm so nervous 🙄
741834087791464448,[1447],@MikalaPelzer1 girl yes. I'm mad it took me 24 hours to piece it together 🙄
742476106440310784,[1447],RT @desiree_rackley: wish I could call you mine 🙄
744022664214417410,"[1424, 1447]",me &amp; lex needa start working out 🙄😭 https://t.co/77WaljXZyz
744768141797003268,[1447],@UmCoolLikeDat making me miss my old one 🙄
748215136163246080,[1447],This killed me 🙄 https://t.co/JAmnwaPCoQ
744769254759686145,[1447],"Number one turn on , is one a female wear no bra idk why 🙄"
