annotations,tweets,labels
😂,school is so dead o my god,0
😂,lol ive been told mine is worse than yours but i dont believe that,0
😂,im excited to hear them that shit is going rattle your soul,0
😂,damn alicia knows everything even indirect tweets,0
😂,that sound like everything,0
😂,parents be having kids so they can be lazy when the kid gets old enough to clean,0
😂,stars from hungry houseman ankle tag from wasall police i never disappoint missy i,0
😂,how yo chin longer than yo neck,0
😂,im gonna wake up well rested and pissed,0
😂,silly me always mixing things up ill text you when i charge my phone,0
😂,i need to come off twitter dan,0
😂,im tired of talking to the same ass people,0
😂,i read it as donuts fol,0
😂,how there you,0
😂,i understand na,0
😂,you real funny,0
😂,it that man is young murk rap,0
😂,we just goofy amp struggle a lot,0
😂,skidded,0
😂,so sick of seeing love island news in with all the political news can definitely see the priorities of the country,0
😂,oh hell nah pretend i wrote this on,0
😂,u may find u have one on ur back too u was trying to get a pic i fell off the seat into barrier,0
😂,hour on this car ride amp cade and i are about to kill eachother,0
😂,you must be one of them,0
😂,very refreshing,0
😂,me and lana get shell and be talking shit,0
😂,every time i pop up on here its a crazy topic cats be tackling,0
😂,im tryna be like you,0
😂,i havent got a clue,0
😂,if then meera get married to sheikh rashid,0
😂,awful even tom pulled a disgusted face hahaha,0
😂,i have never been offended by words written on a screen have you cunts tried choosing to not be offended by fuckin everything,0
😂,haha i love having this account,0
😂,thanks fam,0
😂,not even was just passing by,0
😂,when you and all your friends getting money aint no broke bitchessss around here,0
😂,oh so often i type out character worth of aint shit ass nigga material and i delete lol i should be famous on here,0
😂,later on in life when niggas reach that mane i cant few no goofy ass bitch stage ima be lonely af,0
😂,i know it was because i knew you were expecting a yes,0
😂,dude,0
😂,every asking if im straight yes im good just in my feelings,0
😂,ok ok and i cant handle ur photo ty for,0
😂,she cute but she aint all that bro i be gettin salty lol,0
😂,see your getting involved again,0
😂,i know trying see who gay and who straight,0
😂,when two of the kids that still play pokemon in high school fight,0
😂,monday the the is a combination of number of badluck and the most hated day of students irony of life,0
😂,whats the point of adding me on so and blocking me from seeing your story,0
😂,i swear i always try to be the bigger person and just mind my own butt,0
😂,theres no uglies in my family,0
😂,u look like u would with that pony tail and shirley temple curls,0
😂,im just joking,0
😂,so the queen won po pala haha congratulations more crowns to come,0
😂,its tho,0
😂,ugliest shoes in the world,0
😂,i look better in person,0
😂,did she say karma no ravi listennnnnnn to meeeeeee,0
😂,point is we got there and made the news still on top just like we anti climaxed your season local champions hates,0
😂,the new conjuring film wasnt too good but watching greg and soy jump and scream out there skin was worth the,0
😂,i been trying to stay away from defending curry but yall crazy this man lebron get ever call and he travel alot hit,0
😂,that actually made me jump,0
😂,ill go by my pool is okay also still waiting on the song we go fight eh,0
😂,toner went,0
😂,true i was surprised,0
😂,my tweets must be interested to some people,0
😂,forgot to you,0
😂,stay yo ass at home then,0
😂,yall are soft for getting butt hurt over this its a joke,0
😂,man to have a dad,0
😂,ur gonna fail,0
😂,my question too,0
😂,why do i think of when i see this,0
😂,lol less turns around um excuse you but some of us wanna watch the movie thats when they shutup amp watch,0
😂,joining,0
😂,oh i know my mother is a scary women and i thought she was going to kill her my step mother left the state for weeks,0
😂,are you butchering my jokes hes so incensed,0
😂,kinda just wanna listen to the jonas brothers all day,0
😂,thinking about nemo,0
😂,that was a good ass but scary movie,0
😂,real life,0
😂,omg stoop,0
😂,haha my day today was good morning to the doctors college back home and good night,0
😂,bro another day i got two workouts today ima do u,0
😂,probably my thickness eyeliner,0
😂,why do i even bother with tinder download the app match with people never talk to anyone delete the app do it again a week later,0
😂,friday mornings be like,0
😂,do you think you can share a location on twitter,0
😂,shit ink but i be bored as be nobody be up with me,0
😂,because i didnt do nun today,0
😂,the ups guy was like sign here amp if i may get your number over here so i can call you sometime,0
😂,hahaha sure thing perk of staying at jurons,0
😂,you with me,0
😂,people be fronting too much for me these days,0
😂,no you dont your tears are much precious than that do it only when you hear a good joke,0
😂,how so,0
😂,drunk guy on bus just compared himself to rosa parks being kicked off also asked if it was off by around years but close,0
😂,beefing with a hoe i cant relate,0
😂,im gonna make juan proud this time,0
😂,do it for the gram it i gave him his bottle of white henne doesnt even fucking drink,0
😂,yall cant be posting freaky stuff when im scrolling down my timeline in public,0
😂,this rly us,0
😂,yeah man im so fucking hot,0
😂,luke looks like a sos stalker fan creeping around at i,0
😂,hate when people try to lie to me honestly like i can see right through your is,0
😂,you always make amazing and funny videos,0
😂,lao like i already told her my head is huge too im just giving her son good advice man,0
😂,update now vernon and cortez are also here,0
😂,shes a trip,0
😂,we need an edit button so bad for tweets like it would save me from having to delete them amp start over,0
😂,i stag,0
😂,look at yours and mine,0
😂,i thought this was going to be a fight,0
😂,les arian was born a nickelodeon damn near born in florida nickelodeon studios in florida,0
😂,my neighbours are almost deaf,0
😂,bare zoo footballers love screaming non league wen vary scores he old non league you play on saturdays big difference,0
😂,they are but her persistence annoys me im leaning more towards snowbarry though,0
😂,you a clown,0
😂,yeah she be wild on here,0
😂,i hope it do shit,0
😂,light apartment na this,0
😂,i miss u too amp i swear we stayed out chilling bored as she,0
😂,is youre friend cute yea my nigga cute sorry about last night bro i killed her,0
😂,hes a fool,0
😂,the ending,0
😂,this is not ok,0
😂,boys centennial coverage hahaha ish journal life pa din,0
😂,my it copy was missing last pages and i didnt know was confused by ending,0
😂,are you following the always hilarious very clever musician yet his tweets are always funny candor thoughtprovoking,0
😂,yall do too much,0
😂,niggas gotta stop,0
😂,watching joe hart in the tunnel before the game is always entertaining,0
😂,ohhs yes they fucken soooo,0
😂,this killed me tbe,0
😂,absolute must is amp having funny yet real talk is is a madness,0
😂,i died at that,0
😂,fuck both yall,0
😂,that was never love honey and at this point hes just a friend thats it,0
😂,who can relate,0
😂,right good times lol planning movie and mall trips,0
😂,we all knew that tho,0
😂,people are weird,0
😂,lol being single we can also flirtright,0
😂,haha literally me i u,0
😂,excuse my old ratchet memphis retweets,0
😂,thats babies young boy,0
😂,i see,0
😂,dude this is why i dont have fucking friends everyone is so damn fake i was good where i was before,0
😂,stag everyday its something,0
😂,alpha calling meeting to let everyone know that hes on social media,0
😂,not all,0
😂,we made it,0
😂,true definition of a laker fan,0
😂,hahaha thats why i can never find shorts i like everything creepy crawling up my ass,0
😂,you mean this right,0
😂,im so weak,0
😂,im not even excited at was official tweet bus we lard got that cover few hours ago,0
😂,definitely sonny digital,0
😂,ooooh lil horror uno must be the wrong one but im still going to email you,0
😂,yeah you,0
😂,and im back just for today cause i cant talk to anyone right now so ill just tweet,0
😂,cellphone,0
😂,saved,0
😂,moon tail the guy whole get teary eyed bec of a members message to him but feels embarassed after,0
😂,i been saying that since amp look at me now,0
😂,if i ever meet je watt this would be me,0
😂,and i call him ching choi,0
😂,when someone brags about having females on their snapchat,0
😂,thats definitely rigged dude no way a great defender like warden curry would get crossed like that,0
😂,since im a decent human being today was a fun day,0
😂,if i die today tell nathan million i loved him,0
😂,homie in the back look like he just fell in love,0
😂,this is me,0
😂,book is a real life store omg,0
😂,everybody has had their fair share with an am class in college,0
😂,stop trolling,0
😂,guys stop,0
😂,our mood everyday,0
😂,some youd say,0
😂,i mean their talent just comes natural if i was going for cars it would irritate me too but its okay,0
😂,ima i hooper to im just waiting on my bio go watch my highlights in my bio,0
😂,amp just posted a new video like amp subscribe follow me,0
😂,made me some grits this morning yummy my tweedle full of city folks yall dont know nothing bout thatll,0
😂,no white chicks,0
😂,it my stomach is crying,0
😂,oh shit waddle,0
😂,im in a family group chat where we roast people amp share dank memes,0
😂,the fact she got ignore niggas in her bio funny as shit tho,0
😂,joy joy is so amused by the kids,0
😂,yup joe got cake by the ocean lyrics wrong hes just being joe love you babe,0
😂,im going to be the last one out of my friends too find someone,0
😂,i try to go out and do something nice for my dad and i get yelled at,0
